"Q:0","Q:1","Q:2","Q:3","Q:4","Q:5","Q:6","Q:7","coordinates:0","coordinates:1","coordinates:2"
4.3368e-19,6.5052e-19,0,-0.0096942,-0.023965,0.10553,0.00053451,1e+05,19.184,26.924,11.2
0,8.6736e-19,-3.0358e-18,0.024288,-0.056972,0.10896,0.00067547,1e+05,19.28,27.2,11.2
-3.4694e-18,-4.3368e-18,1.5179e-18,-0.14644,0.14346,0.0945,0.0015464,1e+05,18.887,25.6,11.724
1.7347e-18,0,7.5894e-19,-0.11971,0.057332,0.052566,0.0016111,1e+05,18.932,25.876,11.724
-8.6736e-19,4.3368e-19,-2.1684e-19,-0.065287,-0.017871,0.021319,0.0013549,1e+05,19.043,26.4,11.724
-4.3368e-19,0,-4.3368e-19,0.0021712,-0.061774,0.030841,0.0010994,1e+05,19.191,26.924,11.724
8.6736e-19,8.6736e-19,0,0.047103,-0.091675,0.048334,0.0010203,1e+05,19.287,27.2,11.724
3.4694e-18,-8.6736e-19,2.9951e-18,-0.18527,0.047804,0.16387,0.0053813,1e+05,18.915,25.6,12
0,0,0,-0.15621,-0.013542,0.11797,0.0052419,1e+05,18.958,25.876,12
0,1.7347e-18,-3.0087e-18,-0.092618,-0.086105,0.074142,0.0043731,1e+05,19.067,26.4,12
2.1684e-19,-6.0715e-18,7.5894e-19,-0.0029268,-0.14846,0.069591,0.0034035,1e+05,19.212,26.924,12
0,0,-1.5179e-18,0.053064,-0.16959,0.08472,0.0027696,1e+05,19.304,27.2,12
-2.1684e-19,0,-1.7347e-18,-0.0089883,0.017862,0.086098,0.00017509,1e+05,20.005,30.4,8.8
0,0,-3.0358e-18,-0.011351,0.0098232,0.078942,0.00016822,1e+05,20.005,30.676,8.8
0,4.7434e-20,7.5894e-19,-0.01292,-0.0023221,0.056205,0.00014073,1e+05,20.005,31.2,8.8
0,0,4.3368e-19,-0.011586,0.00038864,0.023206,0.00011498,1e+05,20.004,31.724,8.8
0,0,-8.6736e-19,-0.0096672,0.0079276,0.0044949,0.00010394,1e+05,20.004,32,8.8
0,2.1684e-19,1.7347e-18,-0.010311,0.016446,0.084945,0.00019546,1e+05,20.005,30.4,9.0763
0,-1.6263e-19,8.6736e-19,-0.012669,0.0063626,0.078739,0.00017967,1e+05,20.005,30.676,9.0763
0,1.6263e-19,0,-0.014215,-0.01225,0.057562,0.00014897,1e+05,20.005,31.2,9.0763
-8.6736e-19,1.0842e-19,0,-0.013156,-0.013062,0.025825,0.00011926,1e+05,20.004,31.724,9.0763
8.6736e-19,2.1684e-19,0,-0.011589,-0.0051909,0.0074211,0.0001086,1e+05,20.004,32,9.0763
0,4.3368e-19,1.7347e-18,-0.014161,0.020579,0.082164,0.00013116,1e+05,20.005,30.4,9.6
0,-5.421e-20,-1.301e-18,-0.01679,0.0043842,0.075466,0.00014041,1e+05,20.005,30.676,9.6
1.7347e-18,1.0842e-18,0,-0.018145,-0.026219,0.058018,0.00013243,1e+05,20.004,31.2,9.6
0,4.3368e-19,0,-0.017026,-0.03497,0.033432,0.0001081,1e+05,20.004,31.724,9.6
0,-8.6736e-19,8.6736e-19,-0.015803,-0.028678,0.017999,0.0001045,1e+05,20.004,32,9.6
4.3368e-19,-1.0842e-19,0,-0.019759,0.021854,0.07254,0.00018917,1e+05,20.005,30.4,10.124
0,0,2.1684e-18,-0.022329,0.0028506,0.064873,0.00017639,1e+05,20.004,30.676,10.124
1.7347e-18,4.3368e-19,7.5894e-19,-0.02247,-0.032528,0.053972,0.00014994,1e+05,20.004,31.2,10.124
0,-1.5179e-18,1.301e-18,-0.019495,-0.050105,0.040221,0.00011542,1e+05,20.004,31.724,10.124
-1.7347e-18,-8.6736e-19,8.6736e-19,-0.017496,-0.049616,0.029107,0.0001111,1e+05,20.004,32,10.124
0,-2.1684e-19,1.5179e-18,-0.022028,0.017624,0.067576,0.00018212,1e+05,20.004,30.4,10.4
0,0,-1.5179e-18,-0.024467,0.00024803,0.05775,0.00014356,1e+05,20.004,30.676,10.4
0,4.3368e-19,-1.5179e-18,-0.023796,-0.033128,0.049504,0.00012198,1e+05,20.004,31.2,10.4
0,8.6736e-19,0,-0.019429,-0.055138,0.041476,9.8864e-05,1e+05,20.004,31.724,10.4
1.7347e-18,-8.6736e-19,0,-0.01674,-0.059215,0.033,9.8396e-05,1e+05,20.004,32,10.4
0,-7.5894e-19,1.7347e-18,0.021475,0.042992,0.11596,0.00048623,1e+05,19.841,28.8,7.2
4.3368e-19,-7.5894e-19,4.3368e-18,0.017129,0.048818,0.10811,0.00042976,1e+05,19.888,29.076,7.2
8.6736e-19,0,8.6736e-19,0.010774,0.041962,0.097893,0.00040644,1e+05,19.964,29.6,7.2
0,-3.7947e-19,-8.6736e-19,0.0038874,0.030403,0.086788,0.00036432,1e+05,20.006,30.124,7.2
0,0,-2.1684e-18,0.0018977,0.027956,0.07947,0.00032447,1e+05,20.006,30.4,7.2
0,7.5894e-19,-1.7347e-18,0.021912,0.05043,0.11853,0.00033999,1e+05,19.844,28.8,7.4763
0,7.5894e-19,-8.6736e-19,0.015687,0.057011,0.11191,0.00028955,1e+05,19.89,29.076,7.4763
-8.6736e-19,7.5894e-19,-3.4694e-18,0.0080559,0.048464,0.10119,0.00022928,1e+05,19.965,29.6,7.4763
0,-3.5237e-19,0,0.0017391,0.031987,0.088633,0.00020066,1e+05,20.006,30.124,7.4763
4.3368e-19,3.7947e-19,-3.0358e-18,-0.0005661,0.02697,0.081407,0.0002167,1e+05,20.006,30.4,7.4763
2.1684e-19,1.5179e-18,0,0.02322,0.048078,0.14262,0.00035159,1e+05,19.846,28.8,8
0,0,0,0.013903,0.054232,0.13126,0.00032517,1e+05,19.892,29.076,8
4.3368e-19,7.3184e-19,1.7347e-18,0.0034323,0.044734,0.11008,0.00027772,1e+05,19.965,29.6,8
0,0,-8.6736e-19,-0.0027877,0.027186,0.09107,0.00023227,1e+05,20.005,30.124,8
-2.1684e-19,4.3368e-19,-8.6736e-19,-0.0052411,0.021295,0.083407,0.00019964,1e+05,20.006,30.4,8
0,7.5894e-19,4.3368e-18,0.025783,0.034891,0.1604,0.00031762,1e+05,19.844,28.8,8.5237
0,-1.5179e-18,0,0.015001,0.038641,0.14312,0.00031314,1e+05,19.89,29.076,8.5237
0,-3.2526e-19,8.6736e-19,0.0019515,0.0321,0.11467,0.00025773,1e+05,19.965,29.6,8.5237
1.0842e-19,-3.2526e-19,0,-0.0052081,0.021441,0.093601,0.00018921,1e+05,20.005,30.124,8.5237
-1.0842e-19,-5.421e-19,-8.6736e-19,-0.0079892,0.017453,0.085812,0.0001279,1e+05,20.005,30.4,8.5237
2.1684e-19,-3.2526e-19,3.0358e-18,0.02953,0.023745,0.15435,0.00036073,1e+05,19.84,28.8,8.8
-2.1684e-19,-4.3368e-19,0,0.018031,0.027496,0.13669,0.00035395,1e+05,19.887,29.076,8.8
0,6.5052e-19,3.4694e-18,0.0028245,0.025367,0.11178,0.0003598,1e+05,19.964,29.6,8.8
0,0,8.6736e-19,-0.0058463,0.02022,0.09447,0.00034461,1e+05,20.005,30.124,8.8
0,-3.2526e-19,2.6021e-18,-0.0093432,0.01743,0.086496,0.00024071,1e+05,20.005,30.4,8.8
0,0,0,0.068272,-0.010697,0.25474,0.0022076,1e+05,19.399,27.2,8.8
1.7347e-18,0,0,0.079407,-0.013427,0.23285,0.0018816,1e+05,19.485,27.476,8.8
0,0,0,0.070619,0.0014077,0.20158,0.0012507,1e+05,19.645,28,8.8
4.3368e-19,0,-3.0358e-18,0.044225,0.021718,0.17142,0.0007398,1e+05,19.783,28.524,8.8
2.1684e-19,4.3368e-19,4.3368e-18,0.031078,0.029732,0.15573,0.00054372,1e+05,19.84,28.8,8.8
-3.4694e-18,6.5052e-19,-3.0358e-18,0.070133,-0.032663,0.16995,0.0010073,1e+05,19.377,27.2,9.0763
1.7347e-18,-4.3368e-19,0,0.07762,-0.033517,0.16605,0.00090989,1e+05,19.466,27.476,9.0763
0,0,-5.6379e-18,0.068402,-0.017915,0.16034,0.00073347,1e+05,19.632,28,9.0763
-4.3368e-19,-1.0842e-19,1.301e-18,0.043966,0.002468,0.14423,0.00057527,1e+05,19.775,28.524,9.0763
4.3368e-19,0,-1.301e-18,0.031158,0.011366,0.13235,0.00049569,1e+05,19.834,28.8,9.0763
1.7347e-18,-4.3368e-19,0,0.083578,-0.041271,0.18174,0.00055292,1e+05,19.332,27.2,9.6
0,0,0,0.086805,-0.040231,0.17895,0.0004706,1e+05,19.428,27.476,9.6
0,-4.3368e-19,6.0715e-18,0.079828,-0.032325,0.16619,0.0003715,1e+05,19.605,28,9.6
0,-4.3368e-19,1.301e-18,0.056747,-0.018283,0.1416,0.00029604,1e+05,19.758,28.524,9.6
0,0,0,0.041156,-0.0073738,0.12684,0.00023471,1e+05,19.822,28.8,9.6
